round,team_id,home_rk,home_gp,home_w,home_d,home_l,home_gf,home_ga,home_p
24,36,11,12,5,6,1,20,13,21
24,6,17,12,2,4,6,15,16,10
24,31,15,12,2,6,4,11,15,12
24,2,13,12,5,4,3,19,17,19
24,17,16,12,3,3,6,13,18,12
24,21,19,12,3,1,8,16,26,10
24,90,18,12,2,4,6,12,17,10
24,39,20,12,1,2,9,10,25,5
25,3,1,13,10,2,1,31,8,32
25,43,2,12,9,2,1,29,8,29
25,7,5,12,8,1,3,18,10,25
25,1,3,13,8,3,2,25,15,27
25,8,13,12,6,3,3,20,13,21
25,14,7,12,7,3,2,20,12,24
25,94,6,12,7,3,2,23,12,24
25,11,14,12,4,4,4,15,16,16
25,56,4,12,7,5,0,21,9,26
25,54,8,13,7,2,4,22,16,23
25,91,9,13,6,5,2,20,14,23
25,4,10,13,7,2,4,24,20,23
25,36,12,12,5,6,1,20,13,21
25,6,17,12,2,4,6,15,16,10
25,31,15,12,2,6,4,11,15,12
25,2,11,13,6,4,3,22,18,22
25,17,16,12,3,3,6,13,18,12
25,21,19,12,3,1,8,16,26,10
25,90,18,13,2,4,7,12,19,10
25,39,20,13,1,2,10,11,28,5
